segment_id,task_id,start,goal,release_epoch
117:storage_in,117,53,47,13628.0
118:storage_in,118,5,47,13641.0
119:storage_in,119,3,47,13649.0
120:storage_in,120,4,47,13651.0
121:storage_in,121,5,47,13654.0
122:storage_in,122,3,47,13657.0
123:storage_in,123,0,47,13659.0
124:storage_in,124,4,47,13659.0
127:storage_in,127,1,47,13662.0
125:storage_in,125,4,47,13662.0
126:storage_in,126,5,47,13662.0
128:storage_in,128,5,47,13663.0
129:storage_in,129,3,47,13665.0
130:storage_in,130,3,47,13666.0
131:storage_in,131,4,47,13667.0
133:storage_in,133,2,47,13670.0
134:storage_in,134,5,47,13671.0
132:storage_in,132,4,47,13672.0
135:storage_in,135,0,47,13673.0
136:storage_in,136,3,47,13674.0
137:storage_in,137,1,47,13676.0
138:storage_in,138,4,47,13677.0
139:storage_in,139,2,47,13678.0
140:storage_in,140,0,47,13681.0
141:storage_in,141,5,47,13682.0
142:storage_in,142,3,47,13685.0
143:storage_in,143,1,47,13686.0
144:storage_in,144,2,47,13689.0
145:storage_in,145,2,47,13692.0
146:storage_in,146,0,47,13706.0
147:storage_in,147,4,47,13840.0
148:storage_in,148,0,47,13846.0
149:storage_in,149,53,47,14022.0
150:storage_in,150,53,47,14027.0
151:storage_in,151,53,47,14068.0
152:storage_in,152,53,47,14184.0
153:storage_in,153,5,47,14235.0
154:storage_in,154,3,47,14238.0
155:storage_in,155,4,47,14243.0
156:storage_in,156,5,47,14246.0
157:storage_in,157,0,47,14255.0
159:storage_in,159,1,47,14257.0
158:storage_in,158,3,47,14257.0
160:storage_in,160,1,47,14258.0
161:storage_in,161,2,47,14259.0
162:storage_in,162,4,47,14259.0
163:storage_in,163,0,47,14262.0
164:storage_in,164,5,47,14262.0
165:storage_in,165,5,47,14263.0
166:storage_in,166,3,47,14265.0
167:storage_in,167,1,47,14266.0
168:storage_in,168,3,47,14266.0
169:storage_in,169,4,47,14267.0
170:storage_in,170,2,47,14268.0
171:storage_in,171,4,47,14270.0
172:storage_in,172,5,47,14270.0
173:storage_in,173,5,47,14271.0
174:storage_in,174,3,47,14274.0
175:storage_in,175,0,47,14278.0
176:storage_in,176,4,47,14280.0
177:storage_in,177,1,47,14281.0
178:storage_in,178,5,47,14282.0
179:storage_in,179,2,47,14283.0
180:storage_in,180,3,47,14285.0
181:storage_in,181,0,47,14286.0
182:storage_in,182,1,47,14289.0
183:storage_in,183,2,47,14292.0
184:storage_in,184,3,47,14318.0
186:storage_in,186,0,47,14329.0
185:storage_in,185,4,47,14329.0
187:storage_in,187,1,47,14331.0
188:storage_in,188,2,47,14337.0
189:storage_in,189,0,47,14340.0
190:storage_in,190,1,47,14345.0
191:storage_in,191,2,47,14414.0
192:storage_in,192,4,47,14427.0
193:storage_in,193,53,47,14577.0
194:storage_in,194,53,47,14582.0
195:storage_in,195,53,47,14588.0
196:storage_in,196,53,47,14593.0
197:storage_in,197,53,47,14598.0
198:storage_in,198,53,47,14603.0
199:storage_in,199,53,47,14681.0
200:storage_in,200,53,47,14686.0
201:storage_in,201,53,47,14745.0
202:storage_in,202,53,47,14792.0
203:storage_in,203,5,47,14843.0
204:storage_in,204,3,47,14846.0
205:storage_in,205,4,47,14849.0
206:storage_in,206,5,47,14854.0
207:storage_in,207,2,47,14855.0
208:storage_in,208,3,47,14857.0
209:storage_in,209,0,47,14858.0
210:storage_in,210,5,47,14858.0
211:storage_in,211,4,47,14859.0
212:storage_in,212,1,47,14860.0
213:storage_in,213,3,47,14861.0
214:storage_in,214,5,47,14862.0
215:storage_in,215,4,47,14863.0
216:storage_in,216,2,47,14865.0
217:storage_in,217,5,47,14866.0
218:storage_in,218,3,47,14867.0
219:storage_in,219,0,47,14868.0
220:storage_in,220,3,47,14869.0
221:storage_in,221,1,47,14871.0
222:storage_in,222,4,47,14872.0
223:storage_in,223,2,47,14873.0
224:storage_in,224,5,47,14874.0
225:storage_in,225,5,47,14875.0
226:storage_in,226,3,47,14877.0
227:storage_in,227,4,47,14879.0
228:storage_in,228,5,47,14882.0
229:storage_in,229,0,47,14884.0
230:storage_in,230,3,47,14885.0
231:storage_in,231,1,47,14886.0
232:storage_in,232,4,47,14888.0
233:storage_in,233,2,47,14889.0
234:storage_in,234,0,47,14892.0
235:storage_in,235,1,47,14894.0
236:storage_in,236,4,47,14923.0
237:storage_in,237,5,47,14934.0
238:storage_in,238,5,47,14941.0
239:storage_in,239,3,47,14944.0
240:storage_in,240,0,47,14996.0
241:storage_in,241,3,47,15006.0
242:storage_in,242,2,47,15025.0
243:storage_in,243,4,47,15031.0
244:storage_in,244,53,47,15177.0
245:storage_in,245,53,47,15183.0
246:storage_in,246,53,47,15187.0
247:storage_in,247,53,47,15193.0
248:storage_in,248,53,47,15198.0
249:storage_in,249,53,47,15203.0
250:storage_in,250,53,47,15222.0
251:storage_in,251,53,47,15227.0
252:storage_in,252,53,47,15232.0
253:storage_in,253,53,47,15237.0
254:storage_in,254,53,47,15268.0
255:storage_in,255,53,47,15278.0
256:storage_in,256,53,47,15286.0
257:storage_in,257,53,47,15345.0
258:storage_in,258,53,47,15367.0
259:storage_in,259,53,47,15392.0
260:storage_in,260,53,47,15395.0
261:storage_in,261,5,47,15438.0
262:storage_in,262,3,47,15441.0
263:storage_in,263,4,47,15451.0
264:storage_in,264,1,47,15452.0
267:storage_in,267,0,47,15454.0
265:storage_in,265,3,47,15454.0
266:storage_in,266,5,47,15454.0
268:storage_in,268,2,47,15455.0
269:storage_in,269,4,47,15455.0
270:storage_in,270,1,47,15458.0
271:storage_in,271,3,47,15459.0
272:storage_in,272,2,47,15460.0
273:storage_in,273,0,47,15461.0
274:storage_in,274,5,47,15461.0
275:storage_in,275,4,47,15462.0
276:storage_in,276,0,47,15464.0
277:storage_in,277,5,47,15465.0
279:storage_in,279,3,47,15466.0
278:storage_in,278,53,47,15466.0
280:storage_in,280,3,47,15467.0
281:storage_in,281,4,47,15469.0
282:storage_in,282,1,47,15470.0
283:storage_in,283,5,47,15472.0
285:storage_in,285,2,47,15473.0
284:storage_in,284,4,47,15473.0
286:storage_in,286,3,47,15474.0
287:storage_in,287,0,47,15476.0
288:storage_in,288,4,47,15478.0
289:storage_in,289,4,47,15480.0
291:storage_in,291,1,47,15481.0
290:storage_in,290,5,47,15481.0
292:storage_in,292,5,47,15483.0
293:storage_in,293,3,47,15485.0
294:storage_in,294,2,47,15486.0
295:storage_in,295,0,47,15489.0
296:storage_in,296,1,47,15490.0
297:storage_in,297,1,47,15491.0
298:storage_in,298,2,47,15498.0
299:storage_in,299,5,47,15499.0
300:storage_in,300,3,47,15502.0
301:storage_in,301,0,47,15503.0
302:storage_in,302,4,47,15510.0
304:storage_in,304,2,47,15513.0
303:storage_in,303,5,47,15513.0
305:storage_in,305,3,47,15515.0
306:storage_in,306,4,47,15518.0
308:storage_in,308,0,47,15521.0
307:storage_in,307,5,47,15521.0
309:storage_in,309,1,47,15524.0
310:storage_in,310,3,47,15526.0
311:storage_in,311,2,47,15527.0
313:storage_in,313,0,47,15529.0
312:storage_in,312,4,47,15529.0
314:storage_in,314,5,47,15531.0
315:storage_in,315,1,47,15532.0
316:storage_in,316,2,47,15534.0
317:storage_in,317,0,47,15537.0
318:storage_in,318,1,47,15540.0
319:storage_in,319,4,47,15541.0
320:storage_in,320,2,47,15543.0
321:storage_in,321,5,47,15544.0
322:storage_in,322,0,47,15548.0
323:storage_in,323,3,47,15579.0
324:storage_in,324,1,47,15593.0
325:storage_in,325,2,47,15598.0
326:storage_in,326,3,47,15600.0
327:storage_in,327,4,47,15612.0
328:storage_in,328,4,47,15627.0
329:storage_in,329,0,47,15640.0
330:storage_in,330,5,47,15651.0
331:storage_in,331,1,47,15707.0
332:storage_in,332,53,47,15777.0
333:storage_in,333,53,47,15782.0
334:storage_in,334,53,47,15788.0
335:storage_in,335,53,47,15793.0
336:storage_in,336,53,47,15798.0
337:storage_in,337,53,47,15803.0
338:storage_in,338,53,47,15808.0
339:storage_in,339,53,47,15813.0
340:storage_in,340,53,47,15818.0
341:storage_in,341,53,47,15822.0
342:storage_in,342,53,47,15823.0
343:storage_in,343,53,47,15827.0
344:storage_in,344,53,47,15828.0
345:storage_in,345,53,47,15832.0
346:storage_in,346,53,47,15834.0
347:storage_in,347,53,47,15837.0
348:storage_in,348,53,47,15838.0
349:storage_in,349,53,47,15842.0
350:storage_in,350,53,47,15844.0
351:storage_in,351,53,47,15847.0
352:storage_in,352,53,47,15849.0
353:storage_in,353,53,47,15854.0
354:storage_in,354,53,47,15859.0
355:storage_in,355,53,47,15864.0
356:storage_in,356,53,47,15869.0
357:storage_in,357,53,47,15873.0
358:storage_in,358,53,47,15875.0
359:storage_in,359,53,47,15878.0
360:storage_in,360,53,47,15880.0
361:storage_in,361,53,47,15883.0
362:storage_in,362,53,47,15886.0
363:storage_in,363,53,47,15890.0
364:storage_in,364,53,47,15895.0
365:storage_in,365,53,47,15900.0
366:storage_in,366,53,47,15905.0
367:storage_in,367,53,47,15910.0
368:storage_in,368,53,47,15926.0
369:storage_in,369,53,47,15934.0
370:storage_in,370,53,47,15940.0
371:storage_in,371,53,47,15985.0
372:storage_in,372,53,47,15988.0
373:storage_in,373,53,47,15989.0
374:storage_in,374,53,47,15995.0
375:storage_in,375,53,47,16001.0
376:storage_in,376,5,47,16038.0
377:storage_in,377,3,47,16043.0
379:storage_in,379,1,47,16044.0
378:storage_in,378,53,47,16044.0
380:storage_in,380,3,47,16045.0
381:storage_in,381,4,47,16048.0
382:storage_in,382,2,47,16050.0
383:storage_in,383,2,47,16051.0
384:storage_in,384,0,47,16053.0
385:storage_in,385,3,47,16054.0
386:storage_in,386,4,47,16054.0
387:storage_in,387,5,47,16056.0
388:storage_in,388,5,47,16057.0
390:storage_in,390,0,47,16059.0
389:storage_in,389,4,47,16059.0
391:storage_in,391,3,47,16061.0
392:storage_in,392,3,47,16065.0
393:storage_in,393,53,47,16065.0
394:storage_in,394,4,47,16069.0
397:storage_in,397,1,47,16070.0
396:storage_in,396,4,47,16070.0
395:storage_in,395,5,47,16070.0
398:storage_in,398,5,47,16071.0
400:storage_in,400,2,47,16073.0
399:storage_in,399,5,47,16073.0
401:storage_in,401,3,47,16074.0
402:storage_in,402,0,47,16075.0
403:storage_in,403,4,47,16077.0
405:storage_in,405,1,47,16078.0
404:storage_in,404,3,47,16078.0
406:storage_in,406,5,47,16079.0
407:storage_in,407,2,47,16081.0
408:storage_in,408,3,47,16082.0
409:storage_in,409,0,47,16083.0
410:storage_in,410,4,47,16085.0
411:storage_in,411,1,47,16089.0
412:storage_in,412,3,47,16099.0
413:storage_in,413,4,47,16102.0
414:storage_in,414,2,47,16103.0
415:storage_in,415,53,47,16106.0
416:storage_in,416,1,47,16108.0
417:storage_in,417,5,47,16110.0
418:storage_in,418,0,47,16113.0
419:storage_in,419,3,47,16113.0
420:storage_in,420,1,47,16118.0
421:storage_in,421,4,47,16118.0
422:storage_in,422,5,47,16120.0
424:storage_in,424,2,47,16121.0
423:storage_in,423,5,47,16121.0
425:storage_in,425,3,47,16123.0
426:storage_in,426,53,47,16124.0
427:storage_in,427,4,47,16126.0
428:storage_in,428,3,47,16130.0
430:storage_in,430,0,47,16131.0
429:storage_in,429,5,47,16131.0
431:storage_in,431,1,47,16134.0
432:storage_in,432,4,47,16136.0
433:storage_in,433,5,47,16138.0
434:storage_in,434,2,47,16139.0
435:storage_in,435,3,47,16141.0
436:storage_in,436,0,47,16142.0
437:storage_in,437,4,47,16144.0
438:storage_in,438,1,47,16145.0
439:storage_in,439,2,47,16148.0
440:storage_in,440,53,47,16164.0
441:storage_in,441,3,47,16171.0
442:storage_in,442,4,47,16174.0
443:storage_in,443,5,47,16179.0
444:storage_in,444,3,47,16182.0
445:storage_in,445,4,47,16185.0
446:storage_in,446,5,47,16193.0
447:storage_in,447,3,47,16206.0
448:storage_in,448,0,47,16209.0
449:storage_in,449,5,47,16217.0
450:storage_in,450,53,47,16220.0
451:storage_in,451,4,47,16228.0
452:storage_in,452,1,47,16231.0
453:storage_in,453,5,47,16250.0
454:storage_in,454,2,47,16254.0
455:storage_in,455,3,47,16272.0
456:storage_in,456,3,47,16273.0
457:storage_in,457,53,47,16281.0
458:storage_in,458,0,47,16292.0
459:storage_in,459,4,47,16295.0
460:storage_in,460,53,47,16377.0
461:storage_in,461,53,47,16382.0
462:storage_in,462,53,47,16387.0
463:storage_in,463,53,47,16393.0
464:storage_in,464,53,47,16398.0
465:storage_in,465,53,47,16403.0
466:storage_in,466,53,47,16408.0
467:storage_in,467,53,47,16413.0
468:storage_in,468,53,47,16418.0
469:storage_in,469,53,47,16422.0
470:storage_in,470,53,47,16423.0
471:storage_in,471,53,47,16425.0
472:storage_in,472,53,47,16427.0
473:storage_in,473,53,47,16429.0
474:storage_in,474,53,47,16431.0
475:storage_in,475,53,47,16433.0
476:storage_in,476,53,47,16435.0
477:storage_in,477,53,47,16437.0
478:storage_in,478,53,47,16439.0
479:storage_in,479,53,47,16442.0
480:storage_in,480,53,47,16447.0
481:storage_in,481,53,47,16473.0
482:storage_in,482,53,47,16486.0
483:storage_in,483,53,47,16526.0
484:storage_in,484,53,47,16529.0
485:storage_in,485,53,47,16534.0
486:storage_in,486,53,47,16579.0
487:storage_in,487,53,47,16588.0
488:storage_in,488,53,47,16592.0
489:storage_in,489,53,47,16595.0
490:storage_in,490,53,47,16597.0
491:storage_in,491,53,47,16599.0
492:storage_in,492,53,47,16605.0
493:storage_in,493,53,47,16608.0
494:storage_in,494,4,47,16641.0
495:storage_in,495,5,47,16643.0
496:storage_in,496,1,47,16644.0
497:storage_in,497,4,47,16646.0
498:storage_in,498,1,47,16647.0
499:storage_in,499,2,47,16647.0
500:storage_in,500,5,47,16649.0
502:storage_in,502,0,47,16650.0
501:storage_in,501,53,47,16650.0
503:storage_in,503,3,47,16651.0
504:storage_in,504,3,47,16652.0
505:storage_in,505,5,47,16653.0
506:storage_in,506,4,47,16654.0
507:storage_in,507,4,47,16657.0
508:storage_in,508,5,47,16657.0
510:storage_in,510,1,47,16658.0
509:storage_in,509,2,47,16658.0
511:storage_in,511,3,47,16658.0
512:storage_in,512,3,47,16659.0
513:storage_in,513,2,47,16660.0
514:storage_in,514,4,47,16661.0
515:storage_in,515,5,47,16662.0
516:storage_in,516,4,47,16663.0
519:storage_in,519,0,47,16665.0
518:storage_in,518,3,47,16665.0
517:storage_in,517,5,47,16665.0
520:storage_in,520,3,47,16666.0
521:storage_in,521,1,47,16667.0
522:storage_in,522,53,47,16668.0
523:storage_in,523,4,47,16669.0
526:storage_in,526,2,47,16670.0
525:storage_in,525,5,47,16670.0
528:storage_in,528,5,47,16671.0
524:storage_in,524,4,47,16672.0
530:storage_in,530,0,47,16673.0
529:storage_in,529,3,47,16673.0
531:storage_in,531,3,47,16674.0
527:storage_in,527,53,47,16675.0
532:storage_in,532,4,47,16677.0
534:storage_in,534,1,47,16678.0
533:storage_in,533,5,47,16678.0
535:storage_in,535,5,47,16680.0
537:storage_in,537,2,47,16681.0
536:storage_in,536,3,47,16681.0
538:storage_in,538,3,47,16682.0
539:storage_in,539,0,47,16684.0
540:storage_in,540,2,47,16684.0
541:storage_in,541,4,47,16685.0
542:storage_in,542,1,47,16686.0
543:storage_in,543,2,47,16689.0
544:storage_in,544,0,47,16690.0
545:storage_in,545,1,47,16693.0
546:storage_in,546,2,47,16697.0
547:storage_in,547,4,47,16699.0
548:storage_in,548,0,47,16700.0
549:storage_in,549,5,47,16702.0
550:storage_in,550,1,47,16703.0
551:storage_in,551,3,47,16705.0
552:storage_in,552,4,47,16707.0
553:storage_in,553,5,47,16710.0
554:storage_in,554,5,47,16712.0
555:storage_in,555,3,47,16713.0
556:storage_in,556,4,47,16715.0
558:storage_in,558,0,47,16721.0
557:storage_in,557,5,47,16721.0
559:storage_in,559,3,47,16722.0
560:storage_in,560,3,47,16723.0
561:storage_in,561,1,47,16724.0
562:storage_in,562,4,47,16725.0
563:storage_in,563,2,47,16727.0
564:storage_in,564,5,47,16728.0
565:storage_in,565,3,47,16730.0
566:storage_in,566,4,47,16731.0
567:storage_in,567,0,47,16732.0
568:storage_in,568,4,47,16733.0
569:storage_in,569,1,47,16734.0
570:storage_in,570,5,47,16736.0
571:storage_in,571,2,47,16737.0
572:storage_in,572,3,47,16738.0
573:storage_in,573,0,47,16740.0
574:storage_in,574,4,47,16741.0
575:storage_in,575,1,47,16742.0
576:storage_in,576,5,47,16744.0
577:storage_in,577,2,47,16747.0
578:storage_in,578,0,47,16750.0
579:storage_in,579,5,47,16753.0
580:storage_in,580,3,47,16758.0
581:storage_in,581,4,47,16761.0
582:storage_in,582,5,47,16763.0
583:storage_in,583,3,47,16766.0
584:storage_in,584,4,47,16771.0
585:storage_in,585,1,47,16772.0
586:storage_in,586,5,47,16774.0
587:storage_in,587,3,47,16777.0
588:storage_in,588,2,47,16779.0
589:storage_in,589,0,47,16782.0
590:storage_in,590,1,47,16785.0
591:storage_in,591,4,47,16787.0
592:storage_in,592,2,47,16788.0
593:storage_in,593,0,47,16793.0
594:storage_in,594,1,47,16796.0
595:storage_in,595,2,47,16798.0
596:storage_in,596,5,47,16800.0
597:storage_in,597,0,47,16803.0
598:storage_in,598,1,47,16806.0
599:storage_in,599,3,47,16811.0
600:storage_in,600,2,47,16814.0
601:storage_in,601,4,47,16817.0
602:storage_in,602,5,47,16825.0
603:storage_in,603,3,47,16827.0
604:storage_in,604,0,47,16831.0
605:storage_in,605,4,47,16849.0
606:storage_in,606,4,47,16851.0
607:storage_in,607,1,47,16861.0
608:storage_in,608,2,47,16864.0
609:storage_in,609,0,47,16867.0
610:storage_in,610,1,47,16878.0
611:storage_in,611,2,47,16895.0
612:storage_in,612,2,47,16900.0
613:storage_in,613,5,47,16910.0
614:storage_in,614,5,47,16929.0
615:storage_in,615,0,47,16956.0
616:storage_in,616,3,47,16977.0
617:storage_in,617,53,47,16977.0
618:storage_in,618,53,47,16982.0
619:storage_in,619,53,47,16987.0
620:storage_in,620,53,47,16993.0
621:storage_in,621,4,47,16999.0
622:storage_in,622,53,47,17022.0
623:storage_in,623,53,47,17027.0
624:storage_in,624,53,47,17036.0
625:storage_in,625,53,47,17073.0
626:storage_in,626,53,47,17076.0
627:storage_in,627,53,47,17134.0
628:storage_in,628,53,47,17179.0
629:storage_in,629,53,47,17181.0
630:storage_in,630,53,47,17184.0
631:storage_in,631,53,47,17187.0
632:storage_in,632,53,47,17197.0
633:storage_in,633,53,47,17200.0
634:storage_in,634,53,47,17208.0
635:storage_in,635,53,47,17211.0
636:storage_in,636,5,47,17238.0
637:storage_in,637,0,47,17239.0
638:storage_in,638,3,47,17241.0
639:storage_in,639,1,47,17245.0
640:storage_in,640,2,47,17247.0
641:storage_in,641,3,47,17248.0
643:storage_in,643,3,47,17249.0
642:storage_in,642,4,47,17249.0
644:storage_in,644,0,47,17250.0
646:storage_in,646,4,47,17251.0
645:storage_in,645,5,47,17251.0
647:storage_in,647,53,47,17252.0
648:storage_in,648,3,47,17254.0
649:storage_in,649,5,47,17254.0
650:storage_in,650,1,47,17255.0
652:storage_in,652,3,47,17257.0
651:storage_in,651,4,47,17257.0
654:storage_in,654,4,47,17259.0
653:storage_in,653,5,47,17259.0
655:storage_in,655,2,47,17260.0
656:storage_in,656,1,47,17261.0
657:storage_in,657,4,47,17261.0
658:storage_in,658,3,47,17262.0
659:storage_in,659,5,47,17262.0
660:storage_in,660,5,47,17264.0
663:storage_in,663,0,47,17265.0
662:storage_in,662,3,47,17265.0
661:storage_in,661,4,47,17265.0
664:storage_in,664,2,47,17266.0
665:storage_in,665,3,47,17266.0
666:storage_in,666,4,47,17267.0
667:storage_in,667,4,47,17269.0
668:storage_in,668,1,47,17270.0
669:storage_in,669,5,47,17272.0
671:storage_in,671,2,47,17273.0
672:storage_in,672,0,47,17274.0
673:storage_in,673,3,47,17274.0
670:storage_in,670,5,47,17274.0
675:storage_in,675,0,47,17276.0
674:storage_in,674,5,47,17276.0
676:storage_in,676,53,47,17276.0
677:storage_in,677,4,47,17277.0
679:storage_in,679,1,47,17278.0
678:storage_in,678,3,47,17278.0
680:storage_in,680,5,47,17281.0
681:storage_in,681,1,47,17282.0
682:storage_in,682,3,47,17282.0
683:storage_in,683,2,47,17283.0
684:storage_in,684,0,47,17286.0
685:storage_in,685,2,47,17287.0
686:storage_in,686,0,47,17292.0
688:storage_in,688,1,47,17293.0
687:storage_in,687,4,47,17293.0
689:storage_in,689,2,47,17299.0
691:storage_in,691,0,47,17302.0
690:storage_in,690,3,47,17302.0
692:storage_in,692,4,47,17305.0
693:storage_in,693,1,47,17306.0
694:storage_in,694,5,47,17307.0
696:storage_in,696,3,47,17310.0
695:storage_in,695,4,47,17310.0
698:storage_in,698,1,47,17311.0
697:storage_in,697,2,47,17311.0
699:storage_in,699,5,47,17311.0
700:storage_in,700,2,47,17314.0
702:storage_in,702,4,47,17315.0
701:storage_in,701,53,47,17315.0
703:storage_in,703,3,47,17317.0
704:storage_in,704,5,47,17318.0
705:storage_in,705,0,47,17319.0
706:storage_in,706,4,47,17320.0
707:storage_in,707,5,47,17320.0
708:storage_in,708,3,47,17321.0
709:storage_in,709,5,47,17322.0
710:storage_in,710,0,47,17324.0
711:storage_in,711,3,47,17325.0
712:storage_in,712,1,47,17326.0
713:storage_in,713,4,47,17326.0
714:storage_in,714,4,47,17328.0
715:storage_in,715,2,47,17329.0
716:storage_in,716,5,47,17330.0
717:storage_in,717,3,47,17331.0
718:storage_in,718,0,47,17332.0
719:storage_in,719,3,47,17333.0
721:storage_in,721,1,47,17334.0
720:storage_in,720,5,47,17334.0
722:storage_in,722,4,47,17335.0
723:storage_in,723,4,47,17336.0
724:storage_in,724,2,47,17337.0
725:storage_in,725,5,47,17338.0
726:storage_in,726,0,47,17342.0
727:storage_in,727,1,47,17345.0
728:storage_in,728,3,47,17346.0
729:storage_in,729,3,47,17353.0
730:storage_in,730,2,47,17362.0
731:storage_in,731,0,47,17366.0
732:storage_in,732,4,47,17369.0
733:storage_in,733,1,47,17370.0
734:storage_in,734,5,47,17374.0
735:storage_in,735,5,47,17375.0
737:storage_in,737,2,47,17377.0
736:storage_in,736,3,47,17377.0
738:storage_in,738,4,47,17378.0
739:storage_in,739,4,47,17379.0
740:storage_in,740,5,47,17381.0
741:storage_in,741,5,47,17382.0
742:storage_in,742,3,47,17383.0
743:storage_in,743,0,47,17385.0
744:storage_in,744,4,47,17386.0
747:storage_in,747,1,47,17387.0
745:storage_in,745,3,47,17387.0
746:storage_in,746,3,47,17388.0
748:storage_in,748,2,47,17390.0
749:storage_in,749,5,47,17392.0
751:storage_in,751,0,47,17393.0
750:storage_in,750,4,47,17393.0
752:storage_in,752,1,47,17396.0
753:storage_in,753,2,47,17398.0
754:storage_in,754,4,47,17401.0
755:storage_in,755,0,47,17406.0
756:storage_in,756,3,47,17408.0
757:storage_in,757,1,47,17409.0
758:storage_in,758,4,47,17410.0
759:storage_in,759,1,47,17411.0
760:direct,760,5,49,17411.0
761:storage_in,761,2,47,17418.0
762:direct,762,3,49,17419.0
763:storage_in,763,4,47,17422.0
764:direct,764,5,49,17425.0
765:storage_in,765,3,47,17427.0
766:storage_in,766,4,47,17430.0
767:storage_in,767,5,47,17435.0
768:storage_in,768,3,47,17438.0
769:storage_in,769,0,47,17441.0
770:storage_in,770,1,47,17443.0
772:storage_in,772,2,47,17446.0
771:storage_in,771,4,47,17446.0
773:storage_in,773,0,47,17449.0
774:storage_in,774,1,47,17454.0
