task_id,raw_bag_id,source_raw_bag_id,segment_id,segment_count,start,goal,raw_entry_seconds,release_seconds,release_tick,admission_time_seconds,completion_time_seconds,table53_scheduled_interval_seconds,diagnostic_first_admission_to_completion_seconds,status,moving_ticks,stopped_ticks,hold_count,last_hold_reason,final_node,current_edge_id,position_cell
112,56,56,0,2,149,53,12017.072400000,12017.072400000,60086,12019.200000000,12155.000000000,137.927600000,135.800000000,COMPLETED,643,20,20,,53,-1,-1
113,56,56,1,2,53,23,12017.072400000,22500.000000000,112500,22503.600000000,22700.800000000,200.800000000,197.200000000,COMPLETED,764,150,158,,23,-1,-1
114,57,57,0,2,26,53,12452.149650000,12452.149650000,62261,12454.200000000,12589.000000000,136.850350000,134.800000000,COMPLETED,596,46,46,,53,-1,-1
115,57,57,1,2,53,99,12452.149650000,19500.000000000,97500,19507.600000000,19808.600000000,308.600000000,301.000000000,COMPLETED,999,362,390,,99,-1,-1
116,58,58,0,2,0,53,12463.954950000,12463.954950000,62320,12466.000000000,12607.600000000,143.645050000,141.600000000,COMPLETED,610,58,58,,53,-1,-1
117,58,58,1,2,53,79,12463.954950000,21900.000000000,109500,21906.400000000,22111.600000000,211.600000000,205.200000000,COMPLETED,784,194,216,,79,-1,-1
118,59,59,0,2,57,53,12466.773150000,12466.773150000,62334,12468.800000000,12693.400000000,226.626850000,224.600000000,COMPLETED,855,156,156,,53,-1,-1
119,59,59,1,2,53,103,12466.773150000,21900.000000000,109500,21906.800000000,22213.600000000,313.600000000,306.800000000,COMPLETED,1060,330,354,,103,-1,-1
120,60,60,0,2,24,53,12463.948790000,12463.948790000,62320,12466.000000000,12702.600000000,238.651210000,236.600000000,COMPLETED,906,157,157,,53,-1,-1
121,60,60,1,2,53,116,12463.948790000,19500.000000000,97500,19508.000000000,19806.600000000,306.600000000,298.600000000,COMPLETED,969,372,402,,116,-1,-1
122,61,61,0,2,95,53,12469.334110000,12469.334110000,62347,12471.400000000,12697.200000000,227.865890000,225.800000000,COMPLETED,845,172,172,,53,-1,-1
123,61,61,1,2,53,101,12469.334110000,22200.000000000,111000,22205.200000000,22504.400000000,304.400000000,299.200000000,COMPLETED,1044,300,316,,101,-1,-1
124,62,62,0,2,26,53,12470.621640000,12470.621640000,62354,12472.800000000,12610.400000000,139.778360000,137.600000000,COMPLETED,596,60,60,,53,-1,-1
125,62,62,1,2,53,103,12470.621640000,22200.000000000,111000,22205.600000000,22511.800000000,311.800000000,306.200000000,COMPLETED,1052,319,337,,103,-1,-1
126,63,63,0,2,92,53,12475.811160000,12475.811160000,62380,12478.000000000,12619.800000000,143.988840000,141.800000000,COMPLETED,655,30,30,,53,-1,-1
127,63,63,1,2,53,106,12475.811160000,22200.000000000,111000,22206.000000000,22538.200000000,338.200000000,332.200000000,COMPLETED,1091,386,406,,106,-1,-1
128,64,64,0,2,95,53,12476.639770000,12476.639770000,62384,12478.800000000,12710.200000000,233.560230000,231.400000000,COMPLETED,842,195,195,,53,-1,-1
129,64,64,1,2,53,77,12476.639770000,21900.000000000,109500,21907.200000000,22103.400000000,203.400000000,196.200000000,COMPLETED,734,207,233,,77,-1,-1
130,65,65,0,2,49,53,12478.937770000,12478.937770000,62395,12481.000000000,12723.000000000,244.062230000,242.000000000,COMPLETED,917,165,165,,53,-1,-1
131,65,65,1,2,53,18,12478.937770000,22200.000000000,111000,22206.400000000,22463.200000000,263.200000000,256.800000000,COMPLETED,882,282,304,,18,-1,-1
132,66,66,0,2,149,53,12472.436550000,12472.436550000,62363,12474.600000000,12612.000000000,139.563450000,137.400000000,COMPLETED,643,28,28,,53,-1,-1
133,66,66,1,2,53,83,12472.436550000,23100.000000000,115500,23102.000000000,23305.400000000,205.400000000,203.400000000,COMPLETED,822,115,115,,83,-1,-1
134,67,67,0,2,57,53,12481.587820000,12481.587820000,62408,12483.600000000,12704.200000000,222.612180000,220.600000000,COMPLETED,858,141,141,,53,-1,-1
135,67,67,1,2,53,17,12481.587820000,23700.000000000,118500,23702.000000000,23929.400000000,229.400000000,227.400000000,COMPLETED,867,150,150,,17,-1,-1
136,68,68,0,2,95,53,12482.103180000,12482.103180000,62411,12484.200000000,12707.400000000,225.296820000,223.200000000,COMPLETED,857,163,163,,53,-1,-1
137,68,68,1,2,53,101,12482.103180000,21900.000000000,109500,21907.600000000,22221.200000000,321.200000000,313.600000000,COMPLETED,1043,373,401,,101,-1,-1
138,69,69,0,2,95,53,12479.667420000,12479.667420000,62399,12481.800000000,12701.000000000,221.332580000,219.200000000,COMPLETED,848,144,144,,53,-1,-1
139,69,69,1,2,53,99,12479.667420000,22200.000000000,111000,22206.800000000,22499.200000000,299.200000000,292.400000000,COMPLETED,999,327,351,,99,-1,-1
140,70,70,0,2,92,53,12485.106480000,12485.106480000,62426,12487.200000000,12629.000000000,143.893520000,141.800000000,COMPLETED,655,30,30,,53,-1,-1
141,70,70,1,2,53,41,12485.106480000,20700.000000000,103500,20704.400000000,20940.400000000,240.400000000,236.000000000,COMPLETED,836,224,236,,41,-1,-1
142,71,71,0,2,149,53,12484.306200000,12484.306200000,62422,12486.400000000,12622.200000000,137.893800000,135.800000000,COMPLETED,643,20,20,,53,-1,-1
143,71,71,1,2,53,64,12484.306200000,23100.000000000,115500,23102.400000000,23382.600000000,282.600000000,280.200000000,COMPLETED,1048,209,211,,64,-1,-1
144,72,72,0,2,49,53,12481.604480000,12481.604480000,62409,12483.800000000,12725.800000000,244.195520000,242.000000000,COMPLETED,917,165,165,,53,-1,-1
145,72,72,1,2,53,46,12481.604480000,20700.000000000,103500,20704.800000000,20889.400000000,189.400000000,184.600000000,COMPLETED,686,173,187,,46,-1,-1
146,73,73,0,2,95,53,12492.972990000,12492.972990000,62465,12495.000000000,12715.800000000,222.827010000,220.800000000,COMPLETED,851,157,157,,53,-1,-1
147,73,73,1,2,53,47,12492.972990000,19500.000000000,97500,19508.400000000,19721.400000000,221.400000000,213.000000000,COMPLETED,693,292,324,,47,-1,-1
148,74,74,0,2,57,53,12494.439820000,12494.439820000,62473,12496.600000000,12720.800000000,226.360180000,224.200000000,COMPLETED,855,154,154,,53,-1,-1
149,74,74,1,2,53,110,12494.439820000,21900.000000000,109500,21908.000000000,22272.600000000,372.600000000,364.600000000,COMPLETED,1149,466,496,,110,-1,-1
150,75,75,0,2,95,53,12487.774170000,12487.774170000,62439,12489.800000000,12713.400000000,225.625830000,223.600000000,COMPLETED,851,163,163,,53,-1,-1
151,75,75,1,2,53,45,12487.774170000,20700.000000000,103500,20705.200000000,20879.800000000,179.800000000,174.600000000,COMPLETED,650,175,191,,45,-1,-1
152,76,76,0,2,92,53,12495.921410000,12495.921410000,62480,12498.000000000,12639.800000000,143.878590000,141.800000000,COMPLETED,655,30,30,,53,-1,-1
153,76,76,1,2,53,114,12495.921410000,21900.000000000,109500,21908.400000000,22200.000000000,300.000000000,291.600000000,COMPLETED,960,362,394,,114,-1,-1
154,77,77,0,2,0,53,12624.000810000,12624.000810000,63121,12626.200000000,12767.800000000,143.799190000,141.600000000,COMPLETED,610,58,58,,53,-1,-1
155,77,77,1,2,53,17,12624.000810000,21900.000000000,109500,21908.800000000,22177.000000000,277.000000000,268.200000000,COMPLETED,867,354,388,,17,-1,-1
156,78,78,0,2,49,53,13046.649940000,13046.649940000,65234,13048.800000000,13295.200000000,248.550060000,246.400000000,COMPLETED,920,192,192,,53,-1,-1
157,78,78,1,2,53,42,13046.649940000,21300.000000000,106500,21305.200000000,21560.200000000,260.200000000,255.000000000,COMPLETED,874,265,281,,42,-1,-1
158,79,79,0,2,24,53,13051.282150000,13051.282150000,65257,13053.400000000,13289.200000000,237.917850000,235.800000000,COMPLETED,906,153,153,,53,-1,-1
159,79,79,1,2,53,42,13051.282150000,23700.000000000,118500,23702.400000000,23943.200000000,243.200000000,240.800000000,COMPLETED,867,193,195,,42,-1,-1
160,80,80,0,2,49,53,13046.161780000,13046.161780000,65231,13048.200000000,13292.800000000,246.638220000,244.600000000,COMPLETED,917,178,178,,53,-1,-1
161,80,80,1,2,53,16,13046.161780000,23700.000000000,118500,23702.800000000,23922.600000000,222.600000000,219.800000000,COMPLETED,835,160,164,,16,-1,-1
162,81,81,0,2,26,53,13052.845280000,13052.845280000,65265,13055.000000000,13189.800000000,136.954720000,134.800000000,COMPLETED,596,46,46,,53,-1,-1
163,81,81,1,2,53,83,13052.845280000,23700.000000000,118500,23703.200000000,23913.800000000,213.800000000,210.600000000,COMPLETED,822,151,157,,83,-1,-1
164,82,82,0,2,149,53,13052.059440000,13052.059440000,65261,13054.200000000,13191.400000000,139.340560000,137.200000000,COMPLETED,643,27,27,,53,-1,-1
165,82,82,1,2,53,101,13052.059440000,21900.000000000,109500,21909.200000000,22238.000000000,338.000000000,328.800000000,COMPLETED,1048,444,480,,101,-1,-1
166,83,83,0,2,0,53,13053.288280000,13053.288280000,65267,13055.400000000,13197.000000000,143.711720000,141.600000000,COMPLETED,610,58,58,,53,-1,-1
167,83,83,1,2,53,99,13053.288280000,19500.000000000,97500,19508.800000000,19812.000000000,312.000000000,303.200000000,COMPLETED,999,381,415,,99,-1,-1
168,84,84,0,2,24,53,13057.845400000,13057.845400000,65290,13060.000000000,13297.600000000,239.754600000,237.600000000,COMPLETED,906,162,162,,53,-1,-1
169,84,84,1,2,53,43,13057.845400000,21300.000000000,106500,21305.600000000,21573.000000000,273.000000000,267.400000000,COMPLETED,878,315,333,,43,-1,-1
170,85,85,0,2,57,53,13056.106490000,13056.106490000,65281,13058.200000000,13291.200000000,235.093510000,233.000000000,COMPLETED,849,188,188,,53,-1,-1
171,85,85,1,2,53,44,13056.106490000,21300.000000000,106500,21306.000000000,21587.600000000,287.600000000,281.600000000,COMPLETED,933,323,343,,44,-1,-1
