binary_sha256,class_sha256,completed_raw_bag_count,completion_rate,cpu_seconds,decision_count_definition,decision_requests,full_population_complete,input_sha256,latency_definition,load_factor,map,map_sha256,method,missed_bag_count,missed_bag_rate,native_terminal_status,network_backlog_area_seconds,on_time_rate,on_time_raw_bag_count,population_latency_max_seconds,population_latency_mean_seconds,population_latency_p95_seconds,population_latency_p99_seconds,raw_bag_count,reproduction_level,scheduled_release_latency_definition,scheduled_release_latency_max_seconds,scheduled_release_latency_mean_seconds,scheduled_release_latency_p95_seconds,scheduled_release_latency_p99_seconds,seed,segment_count,source_backlog_area_seconds,source_sha256,tardiness_max_seconds,tardiness_mean_seconds,tardiness_p95_seconds,tardiness_p99_seconds,tardiness_sum_seconds,time_to_90_percent_seconds,time_to_95_percent_seconds,time_to_99_percent_seconds,total_backlog_area_seconds,wall_seconds,workload_identity_sha256
,d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286,28506,1.0,,LOGICAL_ROUTE_REQUESTS_INCLUDING_EACH_TICK_HOLD_RETRY_NOT_ACTUAL_SCORE_COMPUTATIONS,5854358,True,7d914ee7c171f8a6aa4f437885bd8b444938a76d1ddf7dfbea74acfe89356be6,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,0,0.0,COMPLETE,5850261.800000235,1.0,28506,376.6,241.547211113,294.0,321.0,28506,SEMANTICALLY_PARTIAL_RECONSTRUCTION,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,729.5780899999991,279.0935105961201,430.5025975000008,530.7535214999998,181081,43602,64953707.41305296,99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8,0.0,0.0,0.0,0.0,0.0,62892.55454699999,67318.754547,71138.55454699999,70803969.21305312,55.16104,38854ff2be25427cf23fdc522d7fe25f03931ab5cb987bca45d350a30c542ba7
b00fd178dca5b3f201d50ddfc6446959272baa4cc45b4ee01a2f08e0c85a91f5,,28506.0,1.0,29.703125,NATIVE_RUNTIME_DECISION_COUNT_JUNCTION_ARRIVALS_NOT_DH_TICK_REQUESTS,336492,True,7d914ee7c171f8a6aa4f437885bd8b444938a76d1ddf7dfbea74acfe89356be6,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,G31_S4_NATIVE_SYSTEM,0.0,0.0,COMPLETE,5984109.118620053,1.0,28506.0,545.2613599999931,237.25059064091937,339.05117749998135,403.12297749999425,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,622.7613599999931,245.8732665687942,373.89958499999284,453.7434959999963,181081,43602,64161043.13162253,,0.0,0.0,0.0,0.0,0.0,62870.30993700003,67294.67118700001,71120.43991700003,70145152.25024359,30.31880349991843,38854ff2be25427cf23fdc522d7fe25f03931ab5cb987bca45d350a30c542ba7
,,28506,1.0,,,,True,0599356bdfd48cf6fc76836e07c01e5de4033a162f1263d8729c1dd24a94c8cf,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_NATIVE_HCA,0,0.0,,5904779.0,1.0,28506,359.0,237.11369536237984,299.0,331.0,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,,,,,205759,43603,66871044.948013306,,0.0,0.0,0.0,0.0,0.0,62969.154547,67288.154547,71130.154547,72771563.21305355,391.5747146999929,5ecfaf3c3790ba2a8045a91fe40916d08721af6c335c93f670b5c645ef771a26
,d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286,28506,1.0,,LOGICAL_ROUTE_REQUESTS_INCLUDING_EACH_TICK_HOLD_RETRY_NOT_ACTUAL_SCORE_COMPUTATIONS,5819718,True,0599356bdfd48cf6fc76836e07c01e5de4033a162f1263d8729c1dd24a94c8cf,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,0,0.0,COMPLETE,5847366.400000091,1.0,28506,376.0,241.354704273,293.0,319.79,28506,SEMANTICALLY_PARTIAL_RECONSTRUCTION,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,731.3817500000005,278.86029653592226,429.2019724999991,526.9845950000047,205759,43603,64955780.21305293,99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8,0.0,0.0,0.0,0.0,0.0,62889.954547,67311.754547,71141.55454699999,70803146.61305355,52.3425231,5ecfaf3c3790ba2a8045a91fe40916d08721af6c335c93f670b5c645ef771a26
b00fd178dca5b3f201d50ddfc6446959272baa4cc45b4ee01a2f08e0c85a91f5,,28506.0,1.0,29.640625,NATIVE_RUNTIME_DECISION_COUNT_JUNCTION_ARRIVALS_NOT_DH_TICK_REQUESTS,336582,True,0599356bdfd48cf6fc76836e07c01e5de4033a162f1263d8729c1dd24a94c8cf,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,G31_S4_NATIVE_SYSTEM,0.0,0.0,COMPLETE,5982844.318680058,1.0,28506.0,519.5353999999934,237.22574359363102,338.75360749999345,401.6402884999909,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,594.0353999999934,245.84727690661774,374.53542749999724,451.6461304999962,205759,43603,64164236.34937299,,0.0,0.0,0.0,0.0,0.0,62869.55997700001,67287.67118700001,71123.43991700003,70147080.6680532,30.262947799870744,5ecfaf3c3790ba2a8045a91fe40916d08721af6c335c93f670b5c645ef771a26
,,28506,1.0,,,,True,b3c277433f93259b2762389d1135c1cd8b1ac9a6bd1e09bdaea555678dd734c7,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_NATIVE_HCA,0,0.0,,5907612.0,1.0,28506,359.0,237.27618746930472,299.0,330.0,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,,,,,232003,43599,66821291.34695332,,0.0,0.0,0.0,0.0,0.0,62958.154547,67253.154547,71126.154547,72724617.21305358,411.5532964998856,19d7bee50377f7b395ce54862d7ac3d937e6fbb3e9975e7f2be3ba0501d2c045
,d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286,28506,1.0,,LOGICAL_ROUTE_REQUESTS_INCLUDING_EACH_TICK_HOLD_RETRY_NOT_ACTUAL_SCORE_COMPUTATIONS,5848321,True,b3c277433f93259b2762389d1135c1cd8b1ac9a6bd1e09bdaea555678dd734c7,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,0,0.0,COMPLETE,5850787.4000002025,1.0,28506,373.6,241.490444117,293.8,321.39,28506,SEMANTICALLY_PARTIAL_RECONSTRUCTION,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,732.5817500000012,278.99982505623376,430.1635574999991,529.6074870000017,232003,43599,64947363.813053004,99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8,0.0,0.0,0.0,0.0,0.0,62887.55454699999,67273.954547,71140.55454699999,70798151.21305293,53.410744,19d7bee50377f7b395ce54862d7ac3d937e6fbb3e9975e7f2be3ba0501d2c045
b00fd178dca5b3f201d50ddfc6446959272baa4cc45b4ee01a2f08e0c85a91f5,,28506.0,1.0,30.4375,NATIVE_RUNTIME_DECISION_COUNT_JUNCTION_ARRIVALS_NOT_DH_TICK_REQUESTS,336505,True,b3c277433f93259b2762389d1135c1cd8b1ac9a6bd1e09bdaea555678dd734c7,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,G31_S4_NATIVE_SYSTEM,0.0,0.0,COMPLETE,5981754.8929499965,1.0,28506.0,541.4195099999961,237.16415955588465,339.92901749999146,402.01194199999173,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,618.4195099999961,245.78195931733836,374.9195624999911,453.609907999994,232003,43599,64155597.939952455,,0.0,0.0,0.0,0.0,0.0,62864.66788700002,67249.05606700001,71122.43991700003,70137352.83290254,30.95302699995227,19d7bee50377f7b395ce54862d7ac3d937e6fbb3e9975e7f2be3ba0501d2c045
,,28506,1.0,,,,True,b5c76321a0afd481229087d28cdd3122150ba8bdf24bcb13bf188dc2ae6a88e1,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_NATIVE_HCA,0,0.0,,5898652.0,1.0,28506,357.0,236.91429874412404,299.0,332.0,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,,,,,257053,43604,66985050.89232324,,0.0,0.0,0.0,0.0,0.0,62967.154547,67303.154547,71127.154547,72879387.21305358,482.6575305000879,702c9aa145ac1ba1b4c550bed6b9275980e2c3a25eb70c3c6b0a64aa439df3c5
,d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286,28506,1.0,,LOGICAL_ROUTE_REQUESTS_INCLUDING_EACH_TICK_HOLD_RETRY_NOT_ACTUAL_SCORE_COMPUTATIONS,5832456,True,b5c76321a0afd481229087d28cdd3122150ba8bdf24bcb13bf188dc2ae6a88e1,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,0,0.0,COMPLETE,5848040.200000159,1.0,28506,365.0,241.429537641,293.75,320.4,28506,SEMANTICALLY_PARTIAL_RECONSTRUCTION,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,736.3817500000005,278.9466993984775,430.0126724999991,527.5028890000011,257053,43604,64957290.01305304,99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8,0.0,0.0,0.0,0.0,0.0,62896.154547,67319.754547,71145.55454699999,70805330.21305308,52.5018958,702c9aa145ac1ba1b4c550bed6b9275980e2c3a25eb70c3c6b0a64aa439df3c5
b00fd178dca5b3f201d50ddfc6446959272baa4cc45b4ee01a2f08e0c85a91f5,,28506.0,1.0,30.8125,NATIVE_RUNTIME_DECISION_COUNT_JUNCTION_ARRIVALS_NOT_DH_TICK_REQUESTS,336491,True,b5c76321a0afd481229087d28cdd3122150ba8bdf24bcb13bf188dc2ae6a88e1,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,G31_S4_NATIVE_SYSTEM,0.0,0.0,COMPLETE,5981059.388740054,1.0,28506.0,533.8862499999886,237.09066716572107,337.9644274999964,401.9844124999938,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,610.8862499999886,245.71322031242704,373.6890175000053,453.68962649999594,257053,43604,64165436.51147265,,0.0,0.0,0.0,0.0,0.0,62874.77591700002,67295.67118700001,71127.43991700003,70146495.90021336,32.02457860019058,702c9aa145ac1ba1b4c550bed6b9275980e2c3a25eb70c3c6b0a64aa439df3c5
,,28506,1.0,,,,True,270f98d6b64f612c93deb526bbee1016f12aa24c3c691542df300a7768bdce15,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_NATIVE_HCA,0,0.0,,5897049.0,1.0,28506,359.0,236.8674314179471,299.0,331.0,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,,,,,283303,43602,66859785.79825314,,0.0,0.0,0.0,0.0,0.0,62972.154547,67290.154547,71128.154547,72752536.21305355,534.4551470000297,6658be52608f46f1bdd9f4f94cfb129099c6a3ba16fc6e537f2f8500914b64a8
,d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286,28506,1.0,,LOGICAL_ROUTE_REQUESTS_INCLUDING_EACH_TICK_HOLD_RETRY_NOT_ACTUAL_SCORE_COMPUTATIONS,5839022,True,270f98d6b64f612c93deb526bbee1016f12aa24c3c691542df300a7768bdce15,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,0,0.0,COMPLETE,5849277.400000282,1.0,28506,370.6,241.490072265,293.8,320.58,28506,SEMANTICALLY_PARTIAL_RECONSTRUCTION,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,731.1817499999997,278.97525479032487,430.14025749999837,528.5450275000004,283303,43602,64952315.81305276,99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8,0.0,0.0,0.0,0.0,0.0,62897.954547,67315.754547,71147.55454699999,70801593.21305342,51.0259144,6658be52608f46f1bdd9f4f94cfb129099c6a3ba16fc6e537f2f8500914b64a8
b00fd178dca5b3f201d50ddfc6446959272baa4cc45b4ee01a2f08e0c85a91f5,,28506.0,1.0,30.875,NATIVE_RUNTIME_DECISION_COUNT_JUNCTION_ARRIVALS_NOT_DH_TICK_REQUESTS,336513,True,270f98d6b64f612c93deb526bbee1016f12aa24c3c691542df300a7768bdce15,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,G31_S4_NATIVE_SYSTEM,0.0,0.0,COMPLETE,5980982.008390055,1.0,28506.0,522.3519299999898,237.11390099901934,338.9203800000032,401.4363149999927,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,598.1668599999903,245.73195053174928,373.39940249999654,452.8873354999933,283303,43602,64161264.2119532,,0.0,0.0,0.0,0.0,0.0,62872.77591700002,67290.17461700003,71127.88430700001,70142246.22034323,36.44414460007101,6658be52608f46f1bdd9f4f94cfb129099c6a3ba16fc6e537f2f8500914b64a8
,,28506,1.0,,,,True,d153f42a440db86aea22a1acbfc6b7999eaa2a31b110e325bdd367e93a2b8a9a,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_NATIVE_HCA,0,0.0,,5902685.0,1.0,28506,359.0,237.05212937627167,299.0,331.0,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,,,,,308081,43600,66948618.81170338,,0.0,0.0,0.0,0.0,0.0,62962.154547,67277.154547,71122.154547,72847007.21305358,432.75251259980723,1c38e74821ba66e3c3eae3e5c44338387038b3d91425b7e48bcc2aeac3e49844
