section,field,status,value,unit,source,evidence_or_formula,claim_boundary
route_lower_bound,bag_length_map_units,DERIVED_STATIC_DIRECTED,"{""count"": 28506, ""max"": 593.0, ""mean"": 496.4913351575107, ""min"": 440.0, ""p50"": 485.0, ""p95"": 590.0, ""p99"": 593.0}",map units,data/processed/maps/map2.json,"Sum of per-segment directed shortest paths, R-7 quantiles.",Lower bound only; not realized route or runtime THT.
route_lower_bound,bag_travel_time_seconds,DERIVED_STATIC_DIRECTED,"{""count"": 28506, ""max"": 237.2, ""mean"": 198.5965340630146, ""min"": 176.0, ""p50"": 194.0, ""p95"": 236.0, ""p99"": 237.2}",seconds,data/processed/maps/map2.json,"Sum of per-segment directed shortest paths, R-7 quantiles.",Lower bound only; not realized route or runtime THT.
route_lower_bound,bag_hops,DERIVED_STATIC_DIRECTED,"{""count"": 28506, ""max"": 16.0, ""mean"": 11.426120816670174, ""min"": 7.0, ""p50"": 12.0, ""p95"": 16.0, ""p99"": 16.0}",directed edges,data/processed/maps/map2.json,"Sum of per-segment directed shortest paths, R-7 quantiles.",Lower bound only; not realized route or runtime THT.
real_demand_formula_input,annual_passenger_movements_for_case_period,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
real_demand_formula_input,design_day_factor,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
real_demand_formula_input,departing_passenger_share,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
real_demand_formula_input,terminal_allocation_share,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
real_demand_formula_input,local_departure_share,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
real_demand_formula_input,transfer_departure_share,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
real_demand_formula_input,local_checked_bags_per_departing_passenger,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
real_demand_formula_input,transfer_checked_bags_per_transfer_passenger,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
real_demand_formula_input,represented_subsystem_share,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
real_demand_formula_input,parallel_diversion_share,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
real_demand_formula_input,design_day_flight_bank_profile,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
real_demand_formula_input,design_day_ebs_share,UNKNOWN_REQUIRED,,share/rate/profile as applicable,not established,(annual_passenger_movements / 365) * design_day_factor * departing_passenger_share * terminal_allocation_share * (local_departure_share * local_checked_bags_per_departing_passenger + transfer_departure_share * transfer_checked_bags_per_transfer_passenger) * represented_subsystem_share * (1 - parallel_diversion_share),Unknown remains null; no midpoint or convenient default is used.
result,calibrated_multiplier,UNKNOWN_NOT_COMPUTABLE,,x,fail-closed formula,represented_system_design_day_checked_bags / 28506,"Candidate multipliers are sensitivities, not calibrated demand."
capacity,mapf_active_agent_density,UNKNOWN_AUXILIARY_ONLY,,active agents per node/edge,future closed-loop runtime,Requires time-varying active-agent state.,Not an airport-demand or capacity calibration.
capacity,critical_utilization,UNKNOWN_NOT_RUN,,,future gated runtime,Must be measured with explicit injection and backlog accounting.,No value is inferred from a descriptor.
capacity,tail_latency,UNKNOWN_NOT_RUN,,,future gated runtime,Must be measured with explicit injection and backlog accounting.,No value is inferred from a descriptor.
capacity,deadline_miss_rate,UNKNOWN_NOT_RUN,,,future gated runtime,Must be measured with explicit injection and backlog accounting.,No value is inferred from a descriptor.
capacity,post_peak_backlog_clearance,UNKNOWN_NOT_RUN,,,future gated runtime,Must be measured with explicit injection and backlog accounting.,No value is inferred from a descriptor.
capacity,service_level,UNKNOWN_NOT_RUN,,,future gated runtime,Must be measured with explicit injection and backlog accounting.,No value is inferred from a descriptor.
