evidence_group,source_table,source_scope,case,policy_or_baseline,engine,max_tasks,fault_edges,fault_windows,node_capacities,merge_groups,merge_capacity,merge_headway_seconds,planned_count,unplanned_count,post_shield_conflicts,mean_travel_time,p95_travel_time,decision_count,elapsed_seconds,elapsed_ci95_seconds,repeat_count,hardware,decisions_per_second,cpp_decision_speedup,python_planned,cpp_planned,python_decisions,cpp_decisions,python_conflicts,cpp_conflicts,summary_parity_pass,trace_parity_pass,strict_parity_pass,parity_rows,pass_rows,safety_pass,notes
baseline_or_policy_outcome,outputs/tables/phase5_robustness_sweep_metrics.csv,same-map learned-policy robustness sweep on map2 task windows,fault_alt_route_first8,dagger_bc,python,8,16->17,none,none,none,1,0.0,4,4,0,47.000000,49.120000,,0.097394,,,,,,,,,,,,,,,,,True,"Compares A*-guided, DAgger BC, and rolling-horizon SIPP in the existing Phase5 sweep."
baseline_or_policy_outcome,outputs/tables/phase5_robustness_sweep_metrics.csv,same-map learned-policy robustness sweep on map2 task windows,fault_alt_route_first8,rolling_horizon_sipp,python,8,16->17,none,none,none,1,0.0,8,0,0,53.606509,63.873598,,0.002708,,,,,,,,,,,,,,,,,True,"Compares A*-guided, DAgger BC, and rolling-horizon SIPP in the existing Phase5 sweep."
baseline_or_policy_outcome,outputs/tables/phase5_robustness_sweep_metrics.csv,same-map learned-policy robustness sweep on map2 task windows,fault_goal_exit_first8,astar_guided,python,8,28->47,none,none,none,1,0.0,0,8,0,0.000000,0.000000,,0.284781,,,,,,,,,,,,,,,,,True,"Compares A*-guided, DAgger BC, and rolling-horizon SIPP in the existing Phase5 sweep."
baseline_or_policy_outcome,outputs/tables/phase5_robustness_sweep_metrics.csv,same-map learned-policy robustness sweep on map2 task windows,fault_goal_exit_first8,dagger_bc,python,8,28->47,none,none,none,1,0.0,0,8,0,0.000000,0.000000,,0.203590,,,,,,,,,,,,,,,,,True,"Compares A*-guided, DAgger BC, and rolling-horizon SIPP in the existing Phase5 sweep."
baseline_or_policy_outcome,outputs/tables/phase5_robustness_sweep_metrics.csv,same-map learned-policy robustness sweep on map2 task windows,fault_goal_exit_first8,rolling_horizon_sipp,python,8,28->47,none,none,none,1,0.0,8,0,0,84.242655,96.702576,,0.005271,,,,,,,,,,,,,,,,,True,"Compares A*-guided, DAgger BC, and rolling-horizon SIPP in the existing Phase5 sweep."
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first16,rolling_horizon_sipp,python_cpp,16,none,none,none,none,1,0.0,16,0,0,52.740501,,16,0.021680,,,,,1.961098,16,16,16,16,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first16,periodic_replanning_sipp,python_cpp,16,none,none,none,none,1,0.0,16,0,0,77.869194,,120,0.131370,,,,,0.364674,16,16,120,120,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first16,pibt_active_bag_replay,python_cpp,16,none,none,none,none,1,0.0,0,16,0,0.000000,,19149,7.573766,,,,,0.749275,0,0,19149,19149,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first16,edge_score_event,python_cpp,16,none,none,none,none,1,0.0,16,0,0,57.012500,,173,0.071693,,,,,2.288167,16,16,173,173,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first16,fallback_event,python_cpp,16,none,none,none,none,1,0.0,15,1,0,57.693333,,168,0.057681,,,,,1.000929,15,15,168,168,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first16_buffer2,rolling_horizon_sipp,python_cpp,16,none,none,28:2;47:2,none,1,0.0,16,0,0,52.740501,,16,0.037561,,,,,0.373247,16,16,16,16,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first16_buffer2,periodic_replanning_sipp,python_cpp,16,none,none,28:2;47:2,none,1,0.0,16,0,0,77.869194,,120,0.224765,,,,,0.322078,16,16,120,120,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first16_buffer2,pibt_active_bag_replay,python_cpp,16,none,none,28:2;47:2,none,1,0.0,0,16,0,0.000000,,19149,6.356136,,,,,0.962385,0,0,19149,19149,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first16_buffer2,edge_score_event,python_cpp,16,none,none,28:2;47:2,none,1,0.0,16,0,0,57.012500,,173,0.045059,,,,,2.918339,16,16,173,173,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first16_buffer2,fallback_event,python_cpp,16,none,none,28:2;47:2,none,1,0.0,15,1,0,57.693333,,168,0.041099,,,,,1.328441,15,15,168,168,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first32,rolling_horizon_sipp,python_cpp,32,none,none,none,none,1,0.0,32,0,0,63.670163,,32,0.087633,,,,,0.253821,32,32,32,32,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first32,periodic_replanning_sipp,python_cpp,32,none,none,none,none,1,0.0,32,0,0,88.703996,,248,0.316371,,,,,0.444682,32,32,248,248,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first32,pibt_active_bag_replay,python_cpp,32,none,none,none,none,1,0.0,10,22,0,1217.048248,,29055,9.145103,,,,,1.061465,10,10,29055,29055,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first32,edge_score_event,python_cpp,32,none,none,none,none,1,0.0,24,8,0,58.141667,,330,0.077918,,,,,2.953811,24,24,330,330,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_first32,fallback_event,python_cpp,32,none,none,none,none,1,0.0,25,7,0,59.768000,,346,0.079783,,,,,1.193045,25,25,346,346,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset32_static16,rolling_horizon_sipp,python_cpp,16,16->17,none,none,none,1,0.0,16,0,0,73.448853,,16,0.027848,,,,,0.324453,16,16,16,16,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset32_static16,periodic_replanning_sipp,python_cpp,16,16->17,none,none,none,1,0.0,16,0,0,100.761725,,129,0.167071,,,,,0.328663,16,16,129,129,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset32_static16,pibt_active_bag_replay,python_cpp,16,16->17,none,none,none,1,0.0,1,15,0,111.962000,,20706,6.783966,,,,,0.966601,1,1,20706,20706,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset32_static16,edge_score_event,python_cpp,16,16->17,none,none,none,1,0.0,12,4,0,63.966667,,205,0.055346,,,,,2.542997,12,12,205,205,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset32_static16,fallback_event,python_cpp,16,16->17,none,none,none,1,0.0,12,4,0,63.000000,,193,0.034244,,,,,1.551260,12,12,193,193,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset64_repair32,rolling_horizon_sipp,python_cpp,32,none,"28->47@[0.000,12000.000)",none,none,1,0.0,32,0,0,93.624359,,32,0.064794,,,,,0.359808,32,32,32,32,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset64_repair32,periodic_replanning_sipp,python_cpp,32,none,"28->47@[0.000,12000.000)",none,none,1,0.0,32,0,0,132.565807,,265,0.457865,,,,,0.304254,32,32,265,265,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset64_repair32,pibt_active_bag_replay,python_cpp,32,none,"28->47@[0.000,12000.000)",none,none,1,0.0,14,18,0,723.596119,,27600,8.493866,,,,,1.023950,14,14,27600,27600,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset64_repair32,edge_score_event,python_cpp,32,none,"28->47@[0.000,12000.000)",none,none,1,0.0,15,17,0,64.800000,,323,0.083008,,,,,2.654798,15,15,323,323,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset64_repair32,fallback_event,python_cpp,32,none,"28->47@[0.000,12000.000)",none,none,1,0.0,13,19,0,61.769231,,321,0.082562,,,,,1.195490,13,13,321,321,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset64_merge32,rolling_horizon_sipp,python_cpp,32,none,none,none,13->23:9;18->22:9,1,0.0,32,0,0,96.426408,,32,0.075601,,,,,0.374529,32,32,32,32,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset64_merge32,periodic_replanning_sipp,python_cpp,32,none,none,none,13->23:9;18->22:9,1,0.0,32,0,0,127.565807,,260,0.463983,,,,,0.403129,32,32,260,260,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset64_merge32,pibt_active_bag_replay,python_cpp,32,none,none,none,13->23:9;18->22:9,1,0.0,14,18,0,723.596119,,27600,8.530209,,,,,1.034889,14,14,27600,27600,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset64_merge32,edge_score_event,python_cpp,32,none,none,none,13->23:9;18->22:9,1,0.0,14,18,0,65.457143,,332,0.078942,,,,,2.623353,14,14,332,332,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
matched_baseline_comparison,outputs/tables/phase9_matched_baseline_comparison.csv,common real legacy map2/inputdata scenario rows across included baseline families,legacy_offset64_merge32,fallback_event,python_cpp,32,none,none,none,13->23:9;18->22:9,1,0.0,13,19,0,62.953846,,334,0.057544,,,,,1.570873,13,13,334,334,0,0,True,,True,,,True,Matched Phase9 scenario row generated by rerunning Python and C++ implementations.
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed7_medium_repair,rolling_horizon_sipp,python_cpp,18,none,"4->8@[4.000,18.000)",none,none,1,0.0,18,0,0,8.558980,,18,0.004998,,,,,7.205706,18,18,18,18,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed7_medium_repair,periodic_replanning_sipp,python_cpp,18,none,"4->8@[4.000,18.000)",none,none,1,0.0,18,0,0,13.103690,,54,0.010777,,,,,0.455007,18,18,54,54,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed7_medium_repair,pibt_active_bag_replay,python_cpp,18,none,"4->8@[4.000,18.000)",none,none,1,0.0,18,0,0,14.569443,,56,0.007536,,,,,0.571760,18,18,56,56,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed7_medium_repair,edge_score_event,python_cpp,18,none,"4->8@[4.000,18.000)",none,none,1,0.0,18,0,0,9.152747,,55,0.008667,,,,,2.834633,18,18,55,55,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed7_medium_repair,fallback_event,python_cpp,18,none,"4->8@[4.000,18.000)",none,none,1,0.0,18,0,0,9.152747,,55,0.006986,,,,,0.604793,18,18,55,55,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed11_dense_multi_repair,rolling_horizon_sipp,python_cpp,24,none,"7->9@[5.000,16.000);8->9@[10.000,22.000)",none,none,1,0.0,24,0,0,13.528657,,24,0.006584,,,,,0.638813,24,24,24,24,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed11_dense_multi_repair,periodic_replanning_sipp,python_cpp,24,none,"7->9@[5.000,16.000);8->9@[10.000,22.000)",none,none,1,0.0,24,0,0,18.400697,,87,0.015069,,,,,0.564805,24,24,87,87,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed11_dense_multi_repair,pibt_active_bag_replay,python_cpp,24,none,"7->9@[5.000,16.000);8->9@[10.000,22.000)",none,none,1,0.0,24,0,0,47.290801,,292,0.032664,,,,,0.543914,24,24,292,292,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed11_dense_multi_repair,edge_score_event,python_cpp,24,none,"7->9@[5.000,16.000);8->9@[10.000,22.000)",none,none,1,0.0,15,9,0,15.701405,,125,0.015121,,,,,1.848325,15,15,125,125,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed11_dense_multi_repair,fallback_event,python_cpp,24,none,"7->9@[5.000,16.000);8->9@[10.000,22.000)",none,none,1,0.0,15,9,0,15.701405,,125,0.010999,,,,,0.803519,15,15,125,125,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed17_static_plus_repair,rolling_horizon_sipp,python_cpp,20,4->7,"5->8@[0.000,14.000)",none,none,1,0.0,20,0,0,20.590644,,20,0.005792,,,,,0.685127,20,20,20,20,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed17_static_plus_repair,periodic_replanning_sipp,python_cpp,20,4->7,"5->8@[0.000,14.000)",none,none,1,0.0,20,0,0,26.521327,,76,0.013899,,,,,0.453830,20,20,76,76,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed17_static_plus_repair,pibt_active_bag_replay,python_cpp,20,4->7,"5->8@[0.000,14.000)",none,none,1,0.0,20,0,0,57.349043,,324,0.031183,,,,,0.549985,20,20,324,324,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed17_static_plus_repair,edge_score_event,python_cpp,20,4->7,"5->8@[0.000,14.000)",none,none,1,0.0,12,8,0,16.972989,,97,0.011603,,,,,2.099960,12,12,97,97,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed17_static_plus_repair,fallback_event,python_cpp,20,4->7,"5->8@[0.000,14.000)",none,none,1,0.0,12,8,0,16.972989,,97,0.008485,,,,,0.752581,12,12,97,97,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed23_repeated_repair,rolling_horizon_sipp,python_cpp,22,none,"4->8@[3.000,8.000);4->8@[14.000,21.000);8->9@[9.000,15.000)",none,none,1,0.0,22,0,0,13.191617,,22,0.007294,,,,,0.529154,22,22,22,22,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed23_repeated_repair,periodic_replanning_sipp,python_cpp,22,none,"4->8@[3.000,8.000);4->8@[14.000,21.000);8->9@[9.000,15.000)",none,none,1,0.0,22,0,0,18.607532,,74,0.014918,,,,,0.379923,22,22,74,74,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed23_repeated_repair,pibt_active_bag_replay,python_cpp,22,none,"4->8@[3.000,8.000);4->8@[14.000,21.000);8->9@[9.000,15.000)",none,none,1,0.0,22,0,0,33.305419,,187,0.020140,,,,,0.542495,22,22,187,187,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed23_repeated_repair,edge_score_event,python_cpp,22,none,"4->8@[3.000,8.000);4->8@[14.000,21.000);8->9@[9.000,15.000)",none,none,1,0.0,20,2,0,12.984905,,85,0.010974,,,,,1.696887,20,20,85,85,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
synthetic_matched_baseline_comparison,outputs/tables/phase9_synthetic_matched_baseline_comparison.csv,fixed-seed synthetic ICS-like Phase8 manifest rows; heldout-like but not a real airport map,synthetic_seed23_repeated_repair,fallback_event,python_cpp,22,none,"4->8@[3.000,8.000);4->8@[14.000,21.000);8->9@[9.000,15.000)",none,none,1,0.0,19,3,0,13.729372,,93,0.009483,,,,,0.692667,19,19,93,93,0,0,True,,True,,,True,fixed-seed synthetic heldout-like map; not a separate real airport map
