task_id,raw_bag_id,source_raw_bag_id,segment_id,segment_count,start,goal,raw_entry_seconds,release_seconds,release_tick,admission_time_seconds,completion_time_seconds,table53_scheduled_interval_seconds,diagnostic_first_admission_to_completion_seconds,status,moving_ticks,stopped_ticks,hold_count,last_hold_reason
168,84,84,0,2,4,47,13057.845400000,13057.845400000,65290,13060.000000000,13122.000000000,64.154600000,62.000000000,COMPLETED,202,60,60,
169,84,84,1,2,52,49,13057.845400000,21300.000000000,106500,21305.600000000,21473.600000000,173.600000000,168.000000000,COMPLETED,702,98,116,
170,85,85,0,2,1,47,13056.106490000,13056.106490000,65281,13058.200000000,13124.200000000,68.093510000,66.000000000,COMPLETED,210,56,56,
171,85,85,1,2,52,50,13056.106490000,21300.000000000,106500,21309.200000000,21516.400000000,216.400000000,207.200000000,COMPLETED,892,96,132,
172,86,86,0,2,5,47,13065.512170000,13065.512170000,65328,13067.600000000,13126.000000000,60.487830000,58.400000000,COMPLETED,198,46,46,
173,86,86,1,2,52,49,13065.512170000,23700.000000000,118500,23703.600000000,23864.600000000,164.600000000,161.000000000,COMPLETED,702,63,71,
174,87,87,0,2,3,47,13064.178690000,13064.178690000,65321,13066.200000000,13129.200000000,65.021310000,63.000000000,COMPLETED,210,49,49,
175,87,87,1,2,52,49,13064.178690000,21600.000000000,108000,21602.800000000,21761.000000000,161.000000000,158.200000000,COMPLETED,702,49,53,
176,88,88,0,2,2,47,13063.439830000,13063.439830000,65318,13065.600000000,13138.200000000,74.760170000,72.600000000,COMPLETED,218,73,73,
177,88,88,1,2,52,50,13063.439830000,22500.000000000,112500,22502.800000000,22702.000000000,202.000000000,199.200000000,COMPLETED,892,56,60,
178,89,89,0,2,4,47,13072.845380000,13072.845380000,65365,13075.000000000,13134.600000000,61.754620000,59.600000000,COMPLETED,202,48,48,
179,89,89,1,2,52,49,13072.845380000,20400.000000000,102000,20403.200000000,20562.800000000,162.800000000,159.600000000,COMPLETED,702,56,62,
180,90,90,0,2,0,47,13069.937820000,13069.937820000,65350,13072.000000000,13132.800000000,62.862180000,60.800000000,COMPLETED,192,56,56,
181,90,90,1,2,52,50,13069.937820000,22500.000000000,112500,22503.200000000,22703.800000000,203.800000000,200.600000000,COMPLETED,892,63,69,
182,91,91,0,2,4,47,13070.436700000,13070.436700000,65353,13072.600000000,13131.000000000,60.563300000,58.400000000,COMPLETED,202,42,42,
183,91,91,1,2,52,48,13070.436700000,22500.000000000,112500,22503.200000000,22711.600000000,211.600000000,208.400000000,COMPLETED,976,42,48,
184,92,92,0,2,1,47,13075.495160000,13075.495160000,65378,13077.600000000,13143.600000000,68.104840000,66.000000000,COMPLETED,210,56,56,
185,92,92,1,2,52,50,13075.495160000,24300.000000000,121500,24302.000000000,24498.400000000,198.400000000,196.400000000,COMPLETED,892,42,42,
186,93,93,0,2,2,47,13080.921160000,13080.921160000,65405,13083.000000000,13154.400000000,73.478840000,71.400000000,COMPLETED,218,67,67,
