ID EntryTime(s) STD(s) star end Unloader Loader
189 14342.10648 25200 0 50 5 B2
190 14342.2711 26400 1 50 3 B2
191 14419.78355 26400 2 50 4 B2
192 14424.47038 26400 4 48 2 C1
193 14579.75708 23400 53 50 1 T
194 14582.85901 23400 53 50 1 T
195 14588.19227 23400 53 48 2 T
196 14596.28134 23400 53 48 2 T
197 14597.15708 23400 53 50 2 T
198 14602.25901 23400 53 50 2 T
199 14680.52445 23400 53 50 2 T
